Campaign_Type,Target_Audience,Duration_Days,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Rate,Customer_Segment,Date
Influencer,Working Women,29,"Google, Instagram",59234,4994,1531,892,226568,270.76,-0.06,Tamil,12.52,College Students,16-10-2024
Social Media,Working Women,15,YouTube,74702,10110,5298,2481,1220652,49.62,8.91,Tamil,23.95,Premium Segment,10-02-2025
Paid Ads,Youth,15,Instagram,26353,3943,1879,746,458044,214.56,1.86,Tamil,24.92,College Students,30-03-2025
Email,Youth,26,WhatsApp,16978,1079,372,164,56908,1784.37,-0.81,English,9.51,Youth,24-07-2024
SEO,College Students,18,YouTube,92924,9525,4340,2242,652422,27.28,9.67,English,17.33,Youth,17-03-2025
SEO,Working Women,7,"Email, Facebook",96549,13114,3791,1202,366610,74.34,3.1,Hindi,18.75,Premium Segment,04-06-2025
Social Media,Premium Segment,17,Instagram,72628,6488,1923,1181,243286,231.17,-0.11,Tamil,13.21,Premium Segment,09-05-2025
Social Media,Youth,19,WhatsApp,61270,3309,1588,582,346872,320.86,0.86,English,8.94,Youth,31-12-2024
SEO,College Students,22,"Email, Facebook",29199,1719,704,274,101928,727.09,-0.49,Tamil,9.24,Working Women,05-07-2024
Paid Ads,College Students,11,"Google, Facebook",19637,478,236,173,108471,498.5,0.26,Tamil,4.52,Tier 2 City Customers,12-10-2024
Influencer,Premium Segment,19,Facebook,23746,1503,747,458,101218,229.15,-0.04,Hindi,11.4,Tier 2 City Customers,07-12-2024
Paid Ads,Tier 2 City Customers,6,Facebook,53926,7219,1902,1105,339235,221.64,0.39,Bengali,18.96,Youth,18-10-2024
Influencer,Premium Segment,6,Email,35806,2631,999,365,198925,362.79,0.5,English,11.16,Youth,22-03-2025
Email,Premium Segment,6,Facebook,31729,2418,773,403,207142,400.55,0.28,Bengali,11.33,Youth,21-10-2024
Influencer,Premium Segment,29,Email,10338,864,412,299,127075,438.17,-0.03,English,15.24,Tier 2 City Customers,15-09-2024
Paid Ads,Tier 2 City Customers,7,Instagram,96095,12738,6327,2845,631590,56.36,2.94,Bengali,22.8,College Students,23-03-2025
Influencer,Premium Segment,7,WhatsApp,96219,11237,5367,3599,910547,68.47,2.69,Hindi,21.0,Working Women,31-08-2024
Influencer,Premium Segment,30,YouTube,37002,2753,979,780,371280,123.02,2.87,Tamil,12.19,College Students,29-05-2025
SEO,College Students,29,"Google, Instagram",65776,4977,1606,901,370311,74.44,4.52,Bengali,11.38,Tier 2 City Customers,26-04-2025
Social Media,Tier 2 City Customers,12,WhatsApp,57520,3932,2101,1431,1027458,128.93,4.57,English,12.98,Premium Segment,24-08-2024
Email,Working Women,24,Facebook,52752,5831,3299,2095,509085,139.77,0.74,Bengali,21.28,Youth,05-08-2024
Social Media,College Students,5,YouTube,14944,1268,482,318,104304,319.84,0.03,Hindi,13.84,Working Women,02-04-2025
Email,Youth,22,Instagram,53290,3905,1034,535,344540,131.77,3.89,Tamil,10.27,Working Women,22-08-2024
SEO,Working Women,14,Google,41687,2215,911,568,358408,277.67,1.27,English,8.86,Working Women,04-03-2025
